Province,Type,Cd,Year,Reference
Guangdong,Mining/smelting soils,184.09,2023.0,"Non-Carcinogenic Risk Assessment for Heavy Metals in the Soil and Rice in the Vicinity of Dabaoshan Mine, South China"
Guangdong,Agricultural soils,0.11,2022.0,Pollution Risk Assessment and Sources Analysis of Heavy Metal in Soil from Bamboo Shoots
Guangdong,Urban soils,0.34,2022.0,Estimation of the accumulation rates and health risks of heavy metals in residential soils of three metropolitan cities in China
Guangdong,Urban soils,0.45,,
Guangdong,Agricultural soils,0.51,,
Guangdong,Urban soils,17.05,2022.0,"Characteristics and Risk of Forest Soil Heavy Metal Pollution in Western Guangdong Province, China"
Guangdong,Agricultural soils,0.44,2021.0,"Spatiotemporal simulation, early warning, and policy recommendations of the soil heavy metal environmental capacity of the agricultural land in a typical industrial city in China: Case of Zhongshan City"
Guangdong,Agricultural soils,0.83,2022.0,Geochemical Fractionation and Source Identification of Pb and Cd in Riparian Soils and River Sediments from Three Lower Reaches Located in the Pearl River Delta
Guangdong,Agricultural soils,0.21,,
Guangdong,Agricultural soils,0.79,,
Guangdong,Urban soils,0.14,2024.0,"Assessment of soil environmental capacity for heavy metals in Shantou City, Guangdong Province, China: source analysis and enrichment evaluation"
Guangdong,Urban soils,0.599,2022.0,"Assessment of Soil Heavy Metal Pollution and Its Ecological Risk for City Parks, Vicinity of a Landfill, and an Industrial Area within Guangzhou, South China"
Guangdong,Urban soils,0.31,,
Guangdong,Industrial soils,1.415,,
Guangdong,Urban soils,0.1,2022.0,"Spatial distribution characteristics, influencing factors, and source distribution of soil cadmium in Shantou City, Guangdong Province"
Guangdong,Urban soils,0.09,2021.0,"Spatial Distribution and Source Apportionment of Soil Heavy Metals in Pearl River Delta, China"
Guangdong,Industrial soils,3.42,2021.0,"Environmental Effects of Heavy Metals from the E-Waste Dismantling Site, South China"
Guangdong,Industrial soils,0.82,2023.0,"Research on health risk assessment of heavy metals in soil based on multi-factor source apportionment: A case study in Guangdong Province, China"
Guangdong,Agricultural soils,2.31,2025.0,"Screening of Practical Low-accumulating Crops in Cadmium-polluted Farmland: A Field Survey and Field Trail in Guangdong Province, China"
Guangdong,Agricultural soils,0.2,,
Guangdong,Agricultural soils,0.22,,
Guangdong,Agricultural soils,0.34,,
Guangdong,Agricultural soils,10.63,,
Guangdong,Agricultural soils,0.29,,
Guangdong,Agricultural soils,0.18,,
Guangdong,Agricultural soils,0.18,2025.0,Identification of the pollution sources and hidden clustering patterns for potentially toxic elements in typical peri-urban agricultural soils in southern China
Guangdong,Urban soils,0.07,2021.0,佛山城市森林公园表层土壤重金属累积特征、影响因素及其评价
Guangdong,Urban soils,0.05,2021.0,深圳市不同土类的重金属环境背景值与理化性质特征
Guangdong,Urban soils,0.05,,
Guangdong,Urban soils,0.05,,
Guangdong,Industrial soils,0.11,2022.0,某污染地块不同功能区土壤重金属污染特征与来源分析
Guangdong,Urban soils,0.54,2022.0,广州市城市公园土壤重金属累积特征、形态分布及其生态风险
Guangdong,Mining/smelting soils,2.92,2022.0,广东韶关乐昌铅锌矿土壤重金属污染特征及评价
Guangdong,Urban soils,0.5914285714285714,2022.0,广州城市公园绿地重金属环境磁学研究
Guangdong,Agricultural soils,0.2,2022.0,湛江东北部农用地土壤重金属污染及生态风险评价
Guangdong,Industrial soils,0.79,2023.0,典型电子垃圾拆解区周边耕地土壤重金属污染特征及风险评价
Guangdong,Mining/smelting soils,0.82,2023.0,粤北典型工矿区土壤重金属富集特征、来源解析及风险评价
Guangdong,Agricultural soils,0.36,2024.0,广东典型城乡结合带农田土壤重金属污染特征及来源解析
Guangdong,Mining/smelting soils,7.9,2024.0,金属矿区周边农田土壤与农作物重金属健康风险评估
Guangdong,Urban soils,0.07,2025.0,广东省典型城市公园土壤重金属来源解析及风险评估
Guangdong,Urban soils,0.48,,
Guangdong,Urban soils,0.05,,
Guangdong,Urban soils,0.155,2025.0,广州市城市公园绿地土壤重金属污染特征及健康风险评估
Guangdong,Urban soils,0.08,2025.0,广东雷州东部土壤重金属分布特征、来源分析及健康风险评价
Guangdong,Industrial soils,0.51,2021.0,佛山陶瓷工业区土壤重金属含量及生态风险评价
Guangdong,Industrial soils,34.63,2022.0,清远电子垃圾拆解区土壤重金属污染空间分布特征及风险评价
Guangdong,Urban soils,0.12,2024.0,广东惠州金山新城规划区土壤地球化学背景值及分区研究
Guangdong,Urban soils,0.14,2025.0,汕头市表层土壤Pb地球化学特征及来源解析
Guangxi,Mining/smelting soils,2.77,2022.0,Apportionment and Spatial Pattern Analysis of Soil Heavy Metal Pollution Sources Related to Industries of Concern in a County in Southwestern China
Guangxi,Mining/smelting soils,3.04,,
Guangxi,Agricultural soils,2.26,2023.0,Pollution characteristics and source identification of farmland soils in Pb–Zn mining areas through an integrated approach
Guangxi,Agricultural soils,1.75,2024.0,"Spatial distribution, risk assessment, and source apportionment of soil heavy metals in a karst county based on grid survey"
Guangxi,Mining/smelting soils,3.06,2024.0,"Ecological risk, source apportionment, and influencing factors of heavy metals in soil in a typical lead-zinc mining watershed, Guangxi, China"
Guangxi,Mining/smelting soils,0.52,2024.0,"Exploring the geochemical characteristics, sources, influencing factors, and potential remediation strategies of Cd in a typical karst region"
Guangxi,Mining/smelting soils,0.8,2022.0,New strategy for exploring the accumulation of heavy metals in soils derived from different parent materials in the karst region of southwestern China
Guangxi,Mining/smelting soils,1.75,,
Guangxi,Mining/smelting soils,0.16,,
Guangxi,Mining/smelting soils,0.19,,
Guangxi,Mining/smelting soils,0.073,,
Guangxi,Mining/smelting soils,0.095,,
Guangxi,Agricultural soils,6.9,2021.0,河池市某废弃冶炼厂周边农田土壤重金属污染特征及风险评价
Guangxi,Agricultural soils,1.49,2022.0,广西喀斯特地貌区土壤重金属来源与生态风险评价
Guangxi,Mining/smelting soils,0.37,2023.0,南丹矿区周边农田土壤质量综合评价研究
Guangxi,Urban soils,2.77,2024.0,高地球化学背景地区重金属污染分布特征及源解析研究
Guangxi,Urban soils,1.05,,
Guangxi,Urban soils,0.09,,
Guangxi,Mining/smelting soils,1.15,2024.0,广西废弃矿区土壤中Cd、Pb、As污染特征及环境质量评价研究
Guangxi,Mining/smelting soils,1.16,2021.0,广西某有色金属矿区土壤重金属地球化学基线值的确定及其污染评价
Guangxi,Mining/smelting soils,19.49,2023.0,广西某铅锌尾矿库区土壤中重金属Cd、Pb、Zn、Cu的分布特征及源解析
Guangxi,Mining/smelting soils,19.49,2024.0,喀斯特地区尾矿库周边植物重金属富集特征及空间分布
Shandong,Mining/smelting soils,0.15,2021.0,"Assessment of Potential Ecological Risk of Heavy Metals in Surface Soils of Laizhou, Eastern China"
Shandong,Mining/smelting soils,0.11,2023.0,"Risk assessment of soil heavy metals in mining activity areas: a case study in Eastern Shandong Province, China"
Shandong,Mining/smelting soils,0.2,2022.0,"Evaluating heavy metal pollution and potential risk of soil around a coal mining region of Tai’an City, China"
Shandong,Agricultural soils,0.24,2022.0,"Heavy Metal Contamination in Soils from a Major Planting Base of Winter Jujube in the Yellow River Delta, China"
Shandong,Agricultural soils,0.17,2022.0,"Pollution assessment, source identification, and health risks of heavy metals: a case study in a typical wheat–maize rotation area of eastern China"
Shandong,Agricultural soils,0.12,,
